,state,fyDeclared,incidentType,declaredCountyArea,fip_code,latitude,longitude
45793,MN,2019,Flood,St. Louis (County),27137,38.6398744,-90.51881277501238
45798,SD,2019,Flood,McCook (County),46087,43.6719795,-97.37153
45826,MT,2019,Flood,Park (County),30067,39.6108707,-90.8538306
45839,NE,2019,Flood,Webster (County),31181,32.050618,-84.5473105
45894,OK,2019,Flood,Le Flore (County),40079,34.8782244,-94.6852153
45985,NE,2019,Flood,Brown (County),31017,31.7525184,-98.9904722
45993,NE,2019,Flood,Kearney (County),31099,40.4906216,-98.9472344
45995,NE,2019,Flood,Franklin (County),31061,33.155212,-95.2255189
46002,IA,2019,Flood,Sioux (County),19167,43.0574079,-96.1602368
46015,TN,2019,Flood,Lincoln (County),47103,35.4866424,-81.2062724
46115,IA,2019,Flood,Winnebago (County),19189,42.3255276,-89.1496574
46153,TN,2019,Flood,Humphreys (County),47085,33.1282074,-90.5408182
46181,MN,2019,Flood,Polk (County),27119,30.7642828,-94.8192175
46189,SD,2019,Flood,Dewey (County),46041,35.9795036,-98.9816579
46201,VT,2019,Flood,Bennington (County),50003,43.0125713,-73.1473048
46205,WI,2019,Flood,Adams (County),55001,39.9787786,-91.2110065
46209,TX,2019,Flood,Kimble (County),48267,30.4744131,-99.8199792
46212,NE,2019,Flood,Morrill (County),31123,41.683432,-103.0100258
46213,IA,2019,Flood,Bremer (County),19017,42.7669649,-92.3099856
46217,OH,2019,Flood,Vinton (County),39163,39.2744355,-82.4740302
46220,TN,2019,Flood,Union (County),47173,37.4616454,-89.2504793
46225,MO,2019,Flood,Pemiscot (County),29155,36.2104949,-89.8351486
46229,SD,2019,Flood,Hyde (County),46069,35.3935017,-76.1253302
46230,MN,2019,Flood,Dodge (County),27039,32.1506514,-83.1520134
46304,IA,2019,Flood,Winneshiek (County),19191,43.2677179,-91.8563139
46319,WI,2019,Flood,Vernon (County),55123,37.8639924,-94.3800151
46365,TX,2019,Flood,Madison (County),48313,30.9551586,-95.9507234
